date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:44	125/125	---M-Z	200	added ('OK')	text/plain	date:Sun,%2015%20Mar%202026%2011:36:43%20GMT	https://saaremaa.edu.ee/robots.txt		(from )
11:36:44	7794/7794	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Mar%202026%2011:36:43%20GMT	https://saaremaa.edu.ee/tunniplaan/?reset	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/index8626.html	(from )
11:36:44	2734/2734	---M--	200	added ('OK')	image/png	date:Tue,%2006%20May%202025%2009:12:10%20GMT	https://saaremaa.edu.ee/wp-content/themes/saaremaa-gymnaasium/inc/theme/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/wp-content/themes/saaremaa-gymnaasium/inc/theme/favicon/apple-touch-icon.png	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:44	1275/1275	---M--	200	added ('OK')	image/png	date:Tue,%2006%20May%202025%2009:12:10%20GMT	https://saaremaa.edu.ee/wp-content/themes/saaremaa-gymnaasium/inc/theme/favicon/favicon-32x32.png	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/wp-content/themes/saaremaa-gymnaasium/inc/theme/favicon/favicon-32x32.png	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:44	821/821	---M--	200	added ('OK')	image/png	date:Tue,%2006%20May%202025%2009:12:10%20GMT	https://saaremaa.edu.ee/wp-content/themes/saaremaa-gymnaasium/inc/theme/favicon//favicon-16x16.png	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/wp-content/themes/saaremaa-gymnaasium/inc/theme/favicon/favicon-16x16.png	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:45	6370/6370	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20May%202022%2017:11:15%20GMT	https://saaremaa.edu.ee/tunniplaan/res/style.css	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/res/style.css	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:45	86597/86597	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2014:35:12%20GMT	https://saaremaa.edu.ee/tunniplaan/res/jquery-3.2.0.min.js	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/res/jquery-3.2.0.min.js	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:45	11419/11419	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Oct%202021%2014:35:11%20GMT	https://saaremaa.edu.ee/tunniplaan/res/jquery.touchSwipe.min.js	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/res/jquery.touchSwipe.min.js	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:45	1550/1550	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20May%202022%2017:17:04%20GMT	https://saaremaa.edu.ee/tunniplaan/res/tunniplaan.js	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/res/tunniplaan.js	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:45	518/518	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2012%20Oct%202021%2014:35:19%20GMT	https://saaremaa.edu.ee/tunniplaan/img/mob.svg	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/img/mob.svg	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:46	1145/1145	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2012%20Oct%202021%2014:35:19%20GMT	https://saaremaa.edu.ee/tunniplaan/img/menu.svg	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/img/menu.svg	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Mar%202026%2011:36:46%20GMT	https://saaremaa.edu.ee/tunniplaan/G1.m	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/G1.m	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:47	81830/81830	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Mar%202026%2011:36:46%20GMT	https://saaremaa.edu.ee/tunniplaan/G2.m	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/G2.m	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2015%20Mar%202026%2011:36:46%20GMT	https://saaremaa.edu.ee/tunniplaan/G3.m	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/G3.m	(from https://saaremaa.edu.ee/tunniplaan/?reset)
11:36:47	28076/28076	---M-Z	200	added ('OK')	font/woff2	date:Tue,%2012%20Oct%202021%2014:35:12%20GMT	https://saaremaa.edu.ee/tunniplaan/res/Agrandir-WideMedium.woff2	C:/My%20Web%20Sites/sg/saaremaa.edu.ee/tunniplaan/res/Agrandir-WideMedium.woff2	(from https://saaremaa.edu.ee/tunniplaan/res/style.css)
